run_id,config_id,repeat,status,step,measured,phase,context,name,direction,duration_s,timing_synchronized,transferred_gb,effective_bandwidth_gb_s,event_status
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,1,False,rollout,rollout,actor_parameters,cpu_to_gpu,0.2784733846783638,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,1,False,actor_log_prob,actor_log_prob,actor_parameters,gpu_to_cpu,0.6389184258878231,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,1,False,reference_log_prob,reference_log_prob,reference_parameters,cpu_to_gpu,0.26821934431791306,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,1,False,reference_log_prob,reference_log_prob,reference_parameters,gpu_to_cpu,0.6293420195579529,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,1,False,actor_update,actor_update,actor_parameters,cpu_to_gpu,0.26293421164155006,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,1,False,actor_update,actor_update,actor_parameters,gpu_to_cpu,0.6903110034763813,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,2,False,rollout,rollout,actor_parameters,cpu_to_gpu,0.2954336069524288,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,2,False,actor_log_prob,actor_log_prob,actor_parameters,gpu_to_cpu,0.6316775754094124,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,2,False,reference_log_prob,reference_log_prob,reference_parameters,cpu_to_gpu,0.26132234185934067,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,2,False,reference_log_prob,reference_log_prob,reference_parameters,gpu_to_cpu,0.6188011914491653,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,2,False,actor_update,actor_update,actor_parameters,cpu_to_gpu,0.26089925318956375,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,2,False,actor_update,actor_update,actor_parameters,gpu_to_cpu,0.6883411444723606,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,3,True,rollout,rollout,actor_parameters,cpu_to_gpu,0.3075972832739353,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,3,True,actor_log_prob,actor_log_prob,actor_parameters,gpu_to_cpu,0.63509226962924,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,3,True,reference_log_prob,reference_log_prob,reference_parameters,cpu_to_gpu,0.26738864555954933,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,3,True,reference_log_prob,reference_log_prob,reference_parameters,gpu_to_cpu,0.6348757408559322,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,3,True,actor_update,actor_update,actor_parameters,cpu_to_gpu,0.26098309457302094,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,3,True,actor_update,actor_update,actor_parameters,gpu_to_cpu,0.8686788715422153,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,4,True,rollout,rollout,actor_parameters,cpu_to_gpu,0.30109136179089546,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,4,True,actor_log_prob,actor_log_prob,actor_parameters,gpu_to_cpu,0.6289959251880646,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,4,True,reference_log_prob,reference_log_prob,reference_parameters,cpu_to_gpu,0.2651243433356285,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,4,True,reference_log_prob,reference_log_prob,reference_parameters,gpu_to_cpu,0.6297999657690525,False,5.750783920288086,,end
FP32-FINAL-CPU-BEST-r1,FP32-FINAL-CPU-BEST,1,ok,4,True,actor_update,actor_update,actor_parameters,cpu_to_gpu,0.26056744530797005,False,5.750783920288086,,end
